title,allpoints_number,price,description,specifications,oem_names_numbers
26-1862 - QUICK DISCONNECT DEVICE,26-1862,420.23,"
GAS QUICK DISCONNECT ASSEMBLY,
1-1/4"" FPT, THERMAL SHUTOFF AT 350°F
FEMALE END WILL SHUT OFF GAS WHEN SEPERATED.
FEMALE END FROM GAS SUPPLY,
MALE END TO APPLIANCE SIDE ( HAS THERMAL SHUTOFF FEATURE)
TEMPS ABOVE 350 DEGREES F ACTIVATE SAFETY THERMAL RING.
SOLID STATE POCKET GAS DETECTOR # 85-1101
TEFLON THREAD SEALING TAPE # 85-1109 (1/2"" X 520"")
TEFLON THREAD SEALING TAPE # 85-1090 (1/2"" X 260"")
TEFLON SEALING ""PINK"" H/D TAPE # 85-1130 (1/2"" X 260"")
""GRIPP"" HEAVT DUTY THREAD SEALER 1/2 PINT # 85-1101
PTFE HEAVY DUTY THREAD SEALER 1/4 PINT # 85-1136
","


Ship Weight : 2.2 lbs.

","{'Dormont': ['A-125', 'A125', 'B-125'], 'T&S Brass': ['AG-5F', 'AG5F']}"
"DORMONT - SM50 - SWIVEL 1/2""",26-2526,160.00,"
1/2"" SUPER-SWIVEL 360 DEGREE MULTI-PLANE FITTING,
1/2 PSIG MAX
SOLID STATE POCKET GAS DETECTOR # 85-1101
TEFLON THREAD SEALING TAPE # 85-1109 (1/2"" X 520"")
TEFLON THREAD SEALING TAPE # 85-1090 (1/2"" X 260"")
TEFLON SEALING ""PINK"" H/D TAPE # 85-1130 (1/2"" X 260"")
""GRIPP"" HEAVT DUTY THREAD SEALER 1/2 PINT # 85-1101
PTFE HEAVY DUTY THREAD SEALER 1/4 PINT # 85-1136
","


Ship Weight : 1. lbs.

","{'Dormont': ['S50', 'SM50']}"
"DORMONT - SM75 - SWIVEL 3/4""",26-2527,165.01,"
3/4"" SUPER-SWIVEL 360 DEGREE MULTI-PLANE FITTING,
1/2 PSIG MAX
SOLID STATE POCKET GAS DETECTOR # 85-1101
TEFLON THREAD SEALING TAPE # 85-1109 (1/2"" X 520"")
TEFLON THREAD SEALING TAPE # 85-1090 (1/2"" X 260"")
TEFLON SEALING ""PINK"" H/D TAPE # 85-1130 (1/2"" X 260"")
""GRIPP"" HEAVT DUTY THREAD SEALER 1/2 PINT # 85-1101
PTFE HEAVY DUTY THREAD SEALER 1/4 PINT # 85-1136
","


Ship Weight : 0.44 lbs.

","{'Dormont': ['S75', 'S75P1', 'SM75', 'SM75R']}"
"DORMONT - SM100 - SWIVEL 1""",26-2528,266.69,"
1"" SUPER-SWIVEL 360 DEGREE MULTI-PLANE FITTING,
1/2 PSIG MAX
SOLID STATE POCKET GAS DETECTOR # 85-1101
TEFLON THREAD SEALING TAPE # 85-1109 (1/2"" X 520"")
TEFLON THREAD SEALING TAPE # 85-1090 (1/2"" X 260"")
TEFLON SEALING ""PINK"" H/D TAPE # 85-1130 (1/2"" X 260"")
""GRIPP"" HEAVT DUTY THREAD SEALER 1/2 PINT # 85-1101
PTFE HEAVY DUTY THREAD SEALER 1/4 PINT # 85-1136
","


Ship Weight : 0.9 lbs.

","{'Dormont': ['S100', 'SM100']}"
DORMONT - SM125 - 1 1/4in Swivel Connector,26-2529,463.42,"
1-1/4"" SUPER-SWIVEL 360 DEGREE MULTI-PLANE FITTING,
1/2 PSIG MAX
SOLID STATE POCKET GAS DETECTOR # 85-1101
TEFLON THREAD SEALING TAPE # 85-1109 (1/2"" X 520"")
TEFLON THREAD SEALING TAPE # 85-1090 (1/2"" X 260"")
TEFLON SEALING ""PINK"" H/D TAPE # 85-1130 (1/2"" X 260"")
""GRIPP"" HEAVT DUTY THREAD SEALER 1/2 PINT # 85-1101
PTFE HEAVY DUTY THREAD SEALER 1/4 PINT # 85-1136
","


Ship Weight : 2. lbs.

","{'Dormont': ['S125', 'SM125']}"
"263-1012 - GASKET,PUMP INTAKE",263-1012,10.55,"
COLOR: BROWN
MATERIAL: CORK
INNER DIAMETER: 3 1/2"" | 89 mm
OUTER DIAMETER: 5 1/4"" | 133 mm
CENTERS: 2 1/4"" | 57 mm
","


Ship Weight : 0.03 lbs.

","{'Hobart': ['00-119050', '119050', 'HOB00-119050', 'HOB119050']}"
"263-1013 - GASKET,PUMP DRAIN HOLE",263-1013,3.62,"
COLOR: BROWN
MATERIAL: CORK
LENGTH: 2 1/4"" | 57 mm
WIDTH: 1"" | 25 mm
INNER DIAMETER: 1/4"" | 6 mm
CENTERS: 3/4"" | 19 mm
","


Ship Weight : 0.01 lbs.

","{'Hobart': ['00-119051', '119051', 'HOB00-119051', 'HOB119051']}"
"263-1068 - GASKET,PUMP DISCHARGE",263-1068,9.67,"
LENGTH: 5-3/4"" | 146 mm
SCREW CENTERS: 4-5/8"" | 118 mm
","


Ship Weight : 0.02 lbs.

","{'Hobart': ['00-119054', '119054', 'HOB119054']}"
"HOBART - 00-893039-00004 - GASKET,PUMP HOUSING",263-1100,14.76,"
INNER DIAMETER: 5 3/8"" | 137 mm
OUTER DIAMETER: 6 9/16"" | 166 mm
INCLUDES: (4) 7/16"" ID HOLES ON EACH CORNER
","


Ship Weight : 0.03 lbs.

","{'Hobart': ['00-893039-00004', '00-893039-4', '893039-00004', '893039-4']}"
26-4548 - GASKET KIT,26-4548,214.00,"
STAINLESS STEEL GASKET KIT, 4 PIECE WITH SCREWS
BLODGETT DFG-100 XCEL, MARK V XCEL SERIES, SHO-E, SHO-G
","


Ship Weight : 0.9 lbs.

",{'Blodgett': ['36876']}
